	TFm_1008.HK_neg_reg4_mult_28	TFm_1008.HK_neg_reg4_mult_28_per	TFm_1008.HK_neg_reg4_mult_64	TFm_1008.HK_neg_reg4_mult_64_per	TFm_1008.HK_neg_reg4_mult_128	TFm_1008.HK_neg_reg4_mult_128_per	TFm_1008.HK_neg_reg4_mult_conv2	TFm_1008.HK_neg_reg4_mult_conv2_per	TFm_1008.HK_neg_reg4_mult_conv	TFm_1008.HK_neg_reg4_mult_conv_per	TFm_1008.HK_neg_reg4__simp_cordo	TFm_1008.HK_neg_reg4__simp_cordo_per	TFm_1008.HK_neg_reg4_mult_linear	TFm_1008.HK_neg_reg4_mult_linear_per	TFm_1008.HK_neg_reg4_mult_dense2	TFm_1008.HK_neg_reg4_mult_dense2_per	TFm_1008.HK_neg_reg4_mult_lstm	TFm_1008.HK_neg_reg4_mult_lstm_per	TFm_1008.HK_neg_reg4__mult_gru	TFm_1008.HK_neg_reg4__mult_gru_per
75%	0.7515	0.0	0.7442	14.29	0.9115	0.0	0.9997	0.0	0.942	0.0	0.7504	0.0	0.9981	0.0	0.9343	25.0	0.8068	28.57	0.8917	14.29
80%	0.8035	0.0	0.7581	16.67	0.9186	0.0	0.9998	0.0	0.9488	0.0	0.7516	0.0	0.9984	0.0	0.9447	16.67	0.865	33.33	0.8955	16.67
85%	0.8331	0.0	0.765	0.0	0.9235	0.0	0.9998	0.0	0.9546	0.0	0.7547	0.0	0.9987	0.0	0.9669	20.0	0.9002	40.0	0.8962	20.0
86%	0.8408	0.0	0.7668	0.0	0.9244	0.0	0.9998	0.0	0.9555	0.0	0.7552	0.0	0.9987	0.0	0.971	25.0	0.9053	50.0	0.8963	25.0
87%	0.8427	0.0	0.7691	0.0	0.9252	0.0	0.9998	0.0	0.956	0.0	0.7552	0.0	0.9987	0.0	0.9722	25.0	0.9154	50.0	0.8965	25.0
88%	0.8447	0.0	0.7713	0.0	0.926	0.0	0.9998	0.0	0.9565	0.0	0.7553	0.0	0.9987	0.0	0.9734	25.0	0.9255	50.0	0.8966	25.0
89%	0.8466	0.0	0.7736	0.0	0.9268	0.0	0.9998	0.0	0.957	0.0	0.7554	0.0	0.9987	0.0	0.9747	25.0	0.9356	50.0	0.8968	25.0
90%	0.8499	0.0	0.7779	0.0	0.9282	0.0	0.9998	0.0	0.9578	0.0	0.7565	0.0	0.9988	0.0	0.9763	0.0	0.9402	66.67	0.899	33.33
91%	0.8537	0.0	0.7831	0.0	0.9298	0.0	0.9998	0.0	0.9586	0.0	0.7579	0.0	0.9989	0.0	0.9782	0.0	0.9426	66.67	0.9019	33.33
92%	0.8575	0.0	0.7882	0.0	0.9315	0.0	0.9999	0.0	0.9594	0.0	0.7594	0.0	0.999	0.0	0.98	0.0	0.945	66.67	0.9049	33.33
93%	0.8608	0.0	0.7937	0.0	0.9334	0.0	0.9999	0.0	0.9601	0.0	0.7606	0.0	0.9991	0.0	0.9819	0.0	0.9476	50.0	0.9075	50.0
94%	0.8609	0.0	0.8005	0.0	0.9366	0.0	0.9999	0.0	0.9602	0.0	0.7606	0.0	0.9992	0.0	0.9841	0.0	0.951	50.0	0.9078	50.0
95%	0.861	0.0	0.8074	0.0	0.9398	0.0	0.9999	0.0	0.9604	0.0	0.7606	0.0	0.9992	0.0	0.9864	0.0	0.9544	50.0	0.908	50.0
96%	0.861	0.0	0.8143	0.0	0.943	0.0	0.9999	0.0	0.9606	0.0	0.7607	0.0	0.9993	0.0	0.9886	0.0	0.9578	50.0	0.9083	50.0
97%	0.8643	0.0	0.8192	0.0	0.9459	0.0	0.9999	0.0	0.9628	0.0	0.7607	0.0	0.9994	0.0	0.9899	0.0	0.9646	100.0	0.9089	100.0
98%	0.8701	0.0	0.8227	0.0	0.9486	0.0	0.9999	0.0	0.9666	0.0	0.7609	0.0	0.9994	0.0	0.9906	0.0	0.9739	100.0	0.9097	100.0
max	0.8817	-1.0	0.8295	-1.0	0.954	-1.0	0.9999	-1.0	0.9741	-1.0	0.7611	-1.0	0.9996	-1.0	0.9919	-1.0	0.9925	-1.0	0.9112	-1.0
