	TFm_0001.HK_neg_low1_mult_28	TFm_0001.HK_neg_low1_mult_28_per	TFm_0001.HK_neg_low1_mult_64	TFm_0001.HK_neg_low1_mult_64_per	TFm_0001.HK_neg_low1_mult_128	TFm_0001.HK_neg_low1_mult_128_per	r_TFm_0001.HK_neg_low1_mult_conv2	TFm_0001.HK_neg_low1_mult_conv	TFm_0001.HK_neg_low1_mult_conv_per	TFm_0001.HK_neg_low1__simp_cordo	TFm_0001.HK_neg_low1__simp_cordo_per	TFm_0001.HK_neg_low1_mult_linear	TFm_0001.HK_neg_low1_mult_linear_per	TFm_0001.HK_neg_low1_mult_dense2	TFm_0001.HK_neg_low1_mult_dense2_per	TFm_0001.HK_neg_low1_mult_lstm	TFm_0001.HK_neg_low1_mult_lstm_per	TFm_0001.HK_neg_low1__mult_gru	TFm_0001.HK_neg_low1__mult_gru_per
87%	0.7769	9.68	0.665	9.68	0.615	3.23	-1	0.724	3.23	0.7941	12.9	0.8197	12.9	0.9739	6.45	0.9046	9.68	0.7137	12.9
88%	0.7839	10.71	0.6762	10.71	0.6214	3.57	-1	0.7284	3.57	0.7954	14.81	0.826	14.29	0.9747	7.14	0.9088	10.71	0.716	10.71
89%	0.785	11.54	0.6817	11.54	0.624	3.85	-1	0.7336	3.85	0.7958	15.38	0.839	15.38	0.9757	3.85	0.9178	7.69	0.7187	11.54
90%	0.7941	12.5	0.6908	12.5	0.6262	4.17	-1	0.7363	4.17	0.7985	16.67	0.8434	16.67	0.9768	4.17	0.9282	8.33	0.7202	12.5
91%	0.7995	14.29	0.7012	14.29	0.6305	4.76	-1	0.747	4.76	0.8002	19.05	0.845	19.05	0.9791	5.0	0.9357	9.52	0.7215	14.29
92%	0.8115	10.53	0.7079	15.79	0.6345	5.26	-1	0.7539	5.26	0.8018	21.05	0.8502	21.05	0.9792	5.56	0.9387	10.53	0.7253	15.79
93%	0.8249	11.76	0.7152	11.76	0.6375	5.88	-1	0.7637	0.0	0.803	17.65	0.858	23.53	0.9806	5.88	0.9397	11.76	0.7283	17.65
94%	0.8365	14.29	0.7284	14.29	0.6451	7.14	-1	0.7742	0.0	0.8038	21.43	0.8664	26.67	0.9821	7.14	0.9433	14.29	0.7305	14.29
95%	0.8403	16.67	0.7366	16.67	0.6501	8.33	-1	0.7807	0.0	0.8056	23.08	0.8719	33.33	0.9849	8.33	0.9523	16.67	0.7349	8.33
96%	0.8532	10.0	0.7455	20.0	0.656	9.09	-1	0.7868	0.0	0.8067	20.0	0.878	30.0	0.9878	10.0	0.9566	20.0	0.7431	10.0
97%	0.8649	14.29	0.7636	28.57	0.6571	14.29	-1	0.7989	0.0	0.8071	25.0	0.8862	28.57	0.9893	14.29	0.963	28.57	0.7477	14.29
98%	0.8851	20.0	0.7756	40.0	0.6601	20.0	-1	0.8115	0.0	0.8089	20.0	0.8915	20.0	0.9902	0.0	0.9669	40.0	0.7525	20.0
max	0.923	-1.0	0.8071	-1.0	0.6915	-1.0	-1	0.8911	-1.0	0.8152	-1.0	0.9533	-1.0	0.9972	-1.0	0.9773	-1.0	0.7564	-1.0
