	TFm_2318.HK_pos_good9_mult_28	TFm_2318.HK_pos_good9_mult_28_per	TFm_2318.HK_pos_good9_mult_64	TFm_2318.HK_pos_good9_mult_64_per	TFm_2318.HK_pos_good9_mult_128	TFm_2318.HK_pos_good9_mult_128_per	TFm_2318.HK_pos_good9_mult_conv2	TFm_2318.HK_pos_good9_mult_conv2_per	TFm_2318.HK_pos_good9_mult_conv	TFm_2318.HK_pos_good9_mult_conv_per	TFm_2318.HK_pos_good9__simp_cordo	TFm_2318.HK_pos_good9__simp_cordo_per	TFm_2318.HK_pos_good9_mult_linear	TFm_2318.HK_pos_good9_mult_linear_per	TFm_2318.HK_pos_good9_mult_dense2	TFm_2318.HK_pos_good9_mult_dense2_per	TFm_2318.HK_pos_good9_mult_lstm	TFm_2318.HK_pos_good9_mult_lstm_per	TFm_2318.HK_pos_good9__mult_gru	TFm_2318.HK_pos_good9__mult_gru_per
89%	0.5812	16.67	0.6824	16.67	0.6231	8.33	0.8097	16.67	0.7679	16.67	0.5819	16.67	0.8292	16.67	0.764	25.0	0.8703	29.17	0.985	37.5
90%	0.5856	13.64	0.6864	18.18	0.6404	9.09	0.8148	13.64	0.77	18.18	0.5832	18.18	0.8365	13.64	0.7808	27.27	0.8916	31.82	0.9856	36.36
91%	0.5889	15.0	0.6919	20.0	0.6435	5.0	0.8211	10.0	0.7815	20.0	0.5851	20.0	0.8577	15.0	0.8079	30.0	0.9122	30.0	0.99	35.0
92%	0.5921	16.67	0.695	16.67	0.6457	5.56	0.8351	11.11	0.7897	11.11	0.5863	22.22	0.8629	16.67	0.8161	33.33	0.9313	33.33	0.9929	35.29
93%	0.5944	11.76	0.7078	18.75	0.6592	6.25	0.8481	12.5	0.7988	12.5	0.5917	25.0	0.8676	18.75	0.8213	37.5	0.9574	37.5	0.9951	37.5
94%	0.596	15.38	0.7127	15.38	0.6752	7.69	0.8602	15.38	0.8014	15.38	0.595	23.08	0.8869	23.08	0.8275	38.46	0.9663	46.15	0.9959	46.15
95%	0.5977	18.18	0.7158	18.18	0.691	9.09	0.8657	18.18	0.8037	9.09	0.5986	18.18	0.8937	18.18	0.8404	36.36	0.9831	54.55	0.9963	54.55
96%	0.5989	20.0	0.7254	22.22	0.7014	11.11	0.877	22.22	0.8068	11.11	0.6043	22.22	0.9017	11.11	0.8489	33.33	0.9894	44.44	0.9966	55.56
97%	0.6008	14.29	0.7329	14.29	0.7163	14.29	0.8923	28.57	0.82	0.0	0.6107	28.57	0.9092	14.29	0.872	28.57	0.9923	57.14	0.9985	71.43
98%	0.6117	20.0	0.7512	20.0	0.7296	0.0	0.9088	40.0	0.8284	0.0	0.6152	40.0	0.9148	20.0	0.8915	40.0	0.9945	80.0	0.9994	80.0
max	0.6618	-1.0	0.8141	-1.0	0.779	-1.0	0.9289	-1.0	0.8553	-1.0	0.6518	-1.0	0.9694	-1.0	0.9564	-1.0	0.9983	-1.0	0.9998	-1.0
