	TFm_1008.HK_pos_good9_mult_28	TFm_1008.HK_pos_good9_mult_28_per	TFm_1008.HK_pos_good9_mult_64	TFm_1008.HK_pos_good9_mult_64_per	TFm_1008.HK_pos_good9_mult_128	TFm_1008.HK_pos_good9_mult_128_per	TFm_1008.HK_pos_good9_mult_conv2	TFm_1008.HK_pos_good9_mult_conv2_per	TFm_1008.HK_pos_good9_mult_conv	TFm_1008.HK_pos_good9_mult_conv_per	TFm_1008.HK_pos_good9__simp_cordo	TFm_1008.HK_pos_good9__simp_cordo_per	TFm_1008.HK_pos_good9_mult_linear	TFm_1008.HK_pos_good9_mult_linear_per	TFm_1008.HK_pos_good9_mult_dense2	TFm_1008.HK_pos_good9_mult_dense2_per	TFm_1008.HK_pos_good9_mult_lstm	TFm_1008.HK_pos_good9_mult_lstm_per	TFm_1008.HK_pos_good9__mult_gru	TFm_1008.HK_pos_good9__mult_gru_per
50%	0.7885	5.26	0.3579	5.26	0.2881	10.53	0.4053	10.53	0.291	5.26	0.782	5.26	0.4495	5.26	0.2821	5.26	0.3793	10.53	0.5824	10.53
60%	0.7908	6.67	0.3856	6.67	0.3124	13.33	0.4173	13.33	0.3026	6.67	0.7821	6.67	0.5103	6.67	0.2868	6.67	0.4128	6.67	0.5955	13.33
70%	0.7927	9.09	0.446	8.33	0.3364	16.67	0.4863	8.33	0.3516	8.33	0.7827	8.33	0.592	8.33	0.3369	8.33	0.4796	8.33	0.6093	8.33
75%	0.7936	10.0	0.5433	10.0	0.4727	10.0	0.5625	10.0	0.4812	10.0	0.7835	10.0	0.6899	10.0	0.4987	10.0	0.6198	10.0	0.6628	10.0
80%	0.7956	12.5	0.6199	12.5	0.5508	12.5	0.6143	12.5	0.5705	12.5	0.7837	12.5	0.7609	12.5	0.6064	12.5	0.7016	12.5	0.7094	12.5
85%	0.796	0.0	0.6318	16.67	0.5864	16.67	0.634	16.67	0.597	16.67	0.7844	16.67	0.8114	16.67	0.7771	16.67	0.7365	16.67	0.717	16.67
86%	0.796	0.0	0.6337	16.67	0.5911	16.67	0.6385	16.67	0.5975	16.67	0.7845	16.67	0.828	16.67	0.8039	16.67	0.746	16.67	0.7184	16.67
87%	0.7964	0.0	0.6411	20.0	0.5934	20.0	0.6447	20.0	0.6019	20.0	0.7846	20.0	0.8554	20.0	0.833	20.0	0.7669	20.0	0.7193	20.0
88%	0.797	0.0	0.6536	20.0	0.5935	20.0	0.6524	20.0	0.61	20.0	0.7847	20.0	0.8932	20.0	0.8643	20.0	0.7988	20.0	0.7198	20.0
89%	0.7976	0.0	0.666	20.0	0.5935	20.0	0.6602	20.0	0.6181	20.0	0.7848	25.0	0.931	20.0	0.8957	20.0	0.8307	20.0	0.7202	20.0
90%	0.7985	0.0	0.6702	25.0	0.6391	25.0	0.6655	25.0	0.6333	25.0	0.7851	25.0	0.9397	25.0	0.9147	25.0	0.8369	25.0	0.7209	25.0
91%	0.7995	0.0	0.6724	25.0	0.6952	25.0	0.6702	25.0	0.6501	25.0	0.7855	25.0	0.9417	25.0	0.9309	25.0	0.8372	25.0	0.7215	25.0
92%	0.8006	0.0	0.6753	33.33	0.7489	33.33	0.6746	33.33	0.6656	33.33	0.7859	33.33	0.9439	33.33	0.9455	33.33	0.8392	33.33	0.723	33.33
93%	0.8027	0.0	0.6836	33.33	0.7824	33.33	0.676	33.33	0.6692	33.33	0.7862	33.33	0.9488	33.33	0.9473	33.33	0.8565	33.33	0.7313	33.33
94%	0.8047	0.0	0.6919	33.33	0.8159	33.33	0.6773	33.33	0.6728	33.33	0.7864	33.33	0.9537	33.33	0.9492	33.33	0.8739	33.33	0.7397	33.33
95%	0.8062	0.0	0.702	50.0	0.8398	50.0	0.6815	50.0	0.6789	50.0	0.7866	50.0	0.9568	50.0	0.9525	50.0	0.8866	50.0	0.7469	50.0
96%	0.8069	0.0	0.7148	50.0	0.8497	50.0	0.6899	50.0	0.6888	50.0	0.7866	50.0	0.9572	50.0	0.9581	50.0	0.8927	50.0	0.7525	50.0
97%	0.8076	0.0	0.7275	50.0	0.8596	50.0	0.6983	50.0	0.6988	50.0	0.7866	50.0	0.9576	50.0	0.9636	50.0	0.8988	50.0	0.7582	50.0
98%	0.8084	0.0	0.7672	100.0	0.8745	100.0	0.7238	100.0	0.7244	100.0	0.7867	100.0	0.9626	100.0	0.9708	100.0	0.9126	100.0	0.7727	100.0
max	0.81	-1.0	0.8692	-1.0	0.9085	-1.0	0.789	-1.0	0.7889	-1.0	0.7869	-1.0	0.9765	-1.0	0.9866	-1.0	0.9466	-1.0	0.8095	-1.0
