	TFm_1519.HK_neg_low1_mult_28	TFm_1519.HK_neg_low1_mult_28_per	TFm_1519.HK_neg_low1_mult_64	TFm_1519.HK_neg_low1_mult_64_per	TFm_1519.HK_neg_low1_mult_128	TFm_1519.HK_neg_low1_mult_128_per	TFm_1519.HK_neg_low1_mult_conv2	TFm_1519.HK_neg_low1_mult_conv2_per	TFm_1519.HK_neg_low1_mult_conv	TFm_1519.HK_neg_low1_mult_conv_per	TFm_1519.HK_neg_low1__simp_cordo	TFm_1519.HK_neg_low1__simp_cordo_per	TFm_1519.HK_neg_low1_mult_linear	TFm_1519.HK_neg_low1_mult_linear_per	TFm_1519.HK_neg_low1_mult_dense2	TFm_1519.HK_neg_low1_mult_dense2_per	TFm_1519.HK_neg_low1_mult_lstm	TFm_1519.HK_neg_low1_mult_lstm_per	TFm_1519.HK_neg_low1__mult_gru	TFm_1519.HK_neg_low1__mult_gru_per
86%	0.7395	12.12	0.6836	12.12	0.6922	9.09	0.9923	9.38	0.6012	11.76	0.5311	0.0	0.8325	9.09	0.972	12.12	0.9791	15.62	0.9005	21.21
87%	0.7594	13.33	0.7024	13.33	0.7039	10.0	0.9929	10.0	0.6066	13.33	0.5312	0.0	0.8358	10.0	0.9742	13.33	0.9804	16.67	0.9135	23.33
88%	0.7728	14.29	0.7217	14.29	0.7091	10.71	0.9941	10.71	0.6152	14.29	0.5312	0.0	0.8418	10.71	0.9752	14.29	0.981	17.86	0.9197	25.0
89%	0.7832	11.54	0.7307	11.54	0.7175	11.54	0.996	11.54	0.6191	15.38	0.5313	0.0	0.8482	11.54	0.9769	11.54	0.9818	20.0	0.936	26.92
90%	0.7946	4.35	0.736	13.04	0.7298	13.04	0.9964	13.04	0.6293	13.04	0.5313	0.0	0.8583	8.7	0.9788	13.04	0.9824	21.74	0.9509	30.43
91%	0.8013	0.0	0.7511	14.29	0.74	14.29	0.9972	14.29	0.6304	9.52	0.5314	0.0	0.867	9.52	0.9808	14.29	0.9837	19.05	0.9551	33.33
92%	0.8137	0.0	0.7917	15.79	0.7444	15.79	0.9974	16.67	0.6396	10.53	0.5315	0.0	0.8729	10.53	0.9838	15.79	0.9847	21.05	0.9611	36.84
93%	0.8339	0.0	0.8046	17.65	0.7496	18.75	0.9987	18.75	0.6493	5.88	0.5316	0.0	0.8908	11.76	0.9864	17.65	0.9879	23.53	0.974	38.89
94%	0.843	0.0	0.8221	21.43	0.7539	21.43	0.9989	20.0	0.6533	0.0	0.5319	0.0	0.9006	14.29	0.9876	21.43	0.9898	28.57	0.9772	42.86
95%	0.844	0.0	0.8317	25.0	0.7632	25.0	0.9991	27.27	0.6536	0.0	0.5321	0.0	0.916	8.33	0.9894	25.0	0.9907	33.33	0.9813	41.67
96%	0.8545	0.0	0.839	30.0	0.7667	30.0	0.9991	27.27	0.6664	0.0	0.5322	0.0	0.9225	0.0	0.9914	30.0	0.9926	40.0	0.9846	40.0
97%	0.8618	0.0	0.869	42.86	0.792	28.57	0.9992	50.0	0.6946	0.0	0.5323	0.0	0.9361	0.0	0.9934	42.86	0.995	57.14	0.9864	42.86
98%	0.8686	0.0	0.8855	40.0	0.8296	0.0	0.9993	50.0	0.7063	0.0	0.5324	0.0	0.9405	0.0	0.9961	60.0	0.9967	60.0	0.9892	60.0
max	0.9085	-1.0	0.9248	-1.0	0.9438	-1.0	0.9995	-1.0	0.8417	-1.0	0.5329	-1.0	0.9663	-1.0	0.9992	-1.0	0.9982	-1.0	0.9947	-1.0
