	acc_per	loss	epochs	df_test_%	positives	count	mean	std	min	25%	50%	60%	70%	75%	80%	85%	86%	87%	88%	89%	90%	91%	92%	93%	94%	95%	96%	97%	98%	max
TFm_UBER_pos_vgood16_mult_64_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.34	5.07	5.45	7.23	8.7	9.09	11.9	12.82	13.89	15.15	12.9	14.29	16.0	13.64	15.0	17.65	21.43	18.18	11.11	0.0	-1.0
TFm_UBER_pos_vgood16_mult_128	86.59	0.31	13.0	13.8	12.0	275.0	0.4515	0.2419	0.0067	0.2542	0.3955	0.4762	0.5588	0.627	0.6903	0.7522	0.7624	0.7762	0.7936	0.8015	0.8249	0.8421	0.8762	0.8836	0.8916	0.903	0.934	0.9551	0.9631	0.9979
TFm_UBER_pos_vgood16_mult_128_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.37	5.11	5.45	6.02	7.35	9.09	11.9	12.82	13.89	15.15	16.13	10.71	12.0	13.64	15.0	11.76	7.14	9.09	11.11	16.67	-1.0
TFm_UBER_pos_vgood16_mult_conv2	88.86	0.28	12.0	12.7	12.0	275.0	0.4329	0.2501	0.0635	0.22	0.4097	0.462	0.554	0.5946	0.6459	0.6854	0.713	0.7365	0.7614	0.7881	0.8222	0.8566	0.8818	0.92	0.9323	0.9384	0.9489	0.9567	0.9641	0.987
TFm_UBER_pos_vgood16_mult_conv2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.34	8.03	7.27	7.23	8.7	10.91	11.9	12.82	11.11	12.12	12.9	10.71	12.0	13.64	15.0	11.76	14.29	9.09	11.11	16.67	-1.0
TFm_UBER_pos_vgood16_mult_conv	81.99	0.43	11.0	11.6	12.0	275.0	0.5096	0.1552	0.2587	0.3818	0.4922	0.5255	0.5656	0.5933	0.6343	0.6761	0.6789	0.6923	0.6954	0.7051	0.7183	0.7317	0.7463	0.7693	0.7949	0.8274	0.8364	0.8531	0.9002	0.995
TFm_UBER_pos_vgood16_mult_conv_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.88	3.65	4.55	4.82	5.8	7.27	9.52	10.26	11.11	8.82	9.68	10.71	12.0	13.64	15.0	17.65	14.29	18.18	11.11	0.0	-1.0
TFm_UBER_pos_vgood16__simp_cordo	67.42	0.61	8.0	12.7	12.0	275.0	0.5126	0.0216	0.4877	0.4985	0.5067	0.5101	0.5149	0.5173	0.5217	0.5287	0.5297	0.5311	0.5353	0.5361	0.5405	0.5442	0.551	0.5529	0.5568	0.5599	0.5659	0.5701	0.5778	0.618
TFm_UBER_pos_vgood16__simp_cordo_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.83	6.52	8.26	8.43	10.14	10.91	9.52	10.53	11.11	12.12	12.9	10.71	12.0	13.64	15.0	17.65	21.43	18.18	22.22	16.67	-1.0
TFm_UBER_pos_vgood16_mult_linear	66.06	0.6	10.0	11.7	12.0	275.0	0.5319	0.1142	0.3839	0.4529	0.5004	0.5256	0.5524	0.5693	0.5838	0.63	0.6343	0.6436	0.6581	0.6796	0.6975	0.7502	0.7599	0.777	0.791	0.8064	0.8155	0.8323	0.8551	0.936
