	TFm_1088.HK_pos_low1_mult_28	TFm_1088.HK_pos_low1_mult_28_per	TFm_1088.HK_pos_low1_mult_64	TFm_1088.HK_pos_low1_mult_64_per	TFm_1088.HK_pos_low1_mult_128	TFm_1088.HK_pos_low1_mult_128_per	TFm_1088.HK_pos_low1_mult_conv2	TFm_1088.HK_pos_low1_mult_conv2_per	TFm_1088.HK_pos_low1_mult_conv	TFm_1088.HK_pos_low1_mult_conv_per	TFm_1088.HK_pos_low1__simp_cordo	TFm_1088.HK_pos_low1__simp_cordo_per	TFm_1088.HK_pos_low1_mult_linear	TFm_1088.HK_pos_low1_mult_linear_per	TFm_1088.HK_pos_low1_mult_dense2	TFm_1088.HK_pos_low1_mult_dense2_per	TFm_1088.HK_pos_low1_mult_lstm	TFm_1088.HK_pos_low1_mult_lstm_per	TFm_1088.HK_pos_low1__mult_gru	TFm_1088.HK_pos_low1__mult_gru_per
70%	0.552	14.71	0.6036	8.82	0.4272	19.12	0.9997	4.65	0.6356	8.82	0.6683	8.82	0.8789	8.82	0.5929	10.29	0.5508	11.76	0.7176	20.59
75%	0.5906	17.54	0.6341	10.53	0.4998	19.64	0.9998	5.41	0.7182	8.77	0.7104	7.14	0.9122	8.93	0.6258	10.53	0.5855	12.5	0.7791	23.21
80%	0.6382	20.0	0.6517	13.04	0.5467	22.22	0.9998	5.41	0.7644	8.89	0.7486	8.89	0.9417	6.67	0.6724	11.11	0.6342	13.33	0.8539	26.67
85%	0.7022	23.53	0.6715	17.65	0.6653	26.47	0.9998	5.41	0.8377	11.76	0.7933	11.76	0.9575	8.82	0.729	14.71	0.7079	17.65	0.8892	35.29
86%	0.7119	21.88	0.6793	18.75	0.6876	28.12	0.9998	5.41	0.8482	9.68	0.8069	12.5	0.9617	9.38	0.734	15.62	0.7192	18.75	0.8925	34.38
87%	0.7185	23.33	0.6869	20.0	0.7069	30.0	0.9998	5.41	0.8579	10.0	0.8134	13.33	0.9667	10.0	0.7563	16.67	0.7223	16.67	0.9076	33.33
88%	0.7238	25.0	0.692	22.22	0.7125	33.33	0.9998	5.41	0.8621	3.7	0.8201	14.81	0.9691	11.11	0.773	18.52	0.7234	18.52	0.9168	33.33
89%	0.7255	28.0	0.6935	24.0	0.742	36.0	0.9998	5.41	0.863	4.0	0.8291	16.0	0.9734	12.0	0.7793	20.0	0.7287	20.0	0.9294	32.0
90%	0.7308	29.17	0.6976	26.09	0.7553	34.78	0.9998	5.41	0.8701	4.35	0.8406	17.39	0.9773	13.04	0.7857	21.74	0.7476	21.74	0.9352	34.78
91%	0.7332	28.57	0.702	28.57	0.7722	38.1	0.9999	0.0	0.8785	4.76	0.8513	19.05	0.9782	14.29	0.7916	23.81	0.7759	23.81	0.9378	33.33
92%	0.7411	33.33	0.7056	33.33	0.7877	38.89	0.9999	0.0	0.8839	5.56	0.8592	22.22	0.9817	11.11	0.7949	22.22	0.7796	27.78	0.9441	38.89
93%	0.7444	25.0	0.711	31.25	0.7991	37.5	0.9999	0.0	0.8926	6.25	0.8688	18.75	0.9857	11.76	0.8115	25.0	0.781	25.0	0.9588	43.75
94%	0.7616	28.57	0.7162	35.71	0.8154	42.86	0.9999	0.0	0.9008	7.14	0.8737	14.29	0.9867	7.14	0.8368	21.43	0.7836	28.57	0.9685	50.0
95%	0.7786	33.33	0.7236	33.33	0.8331	41.67	0.9999	0.0	0.907	8.33	0.8766	16.67	0.9892	8.33	0.8573	25.0	0.8046	33.33	0.9864	54.55
96%	0.8215	22.22	0.7307	44.44	0.8468	55.56	0.9999	0.0	0.9435	11.11	0.8781	22.22	0.9921	11.11	0.8829	33.33	0.8308	44.44	0.9883	55.56
97%	0.8394	28.57	0.7458	57.14	0.8826	57.14	0.9999	0.0	0.9526	14.29	0.8801	28.57	0.9939	14.29	0.889	42.86	0.8509	42.86	0.9902	57.14
98%	0.8557	20.0	0.7593	60.0	0.9111	60.0	0.9999	0.0	0.9574	20.0	0.8829	20.0	0.9965	20.0	0.9076	40.0	0.874	60.0	0.9913	75.0
max	0.9366	-1.0	0.8214	-1.0	0.9612	-1.0	0.9999	-1.0	0.9988	-1.0	0.8955	-1.0	0.998	-1.0	0.9995	-1.0	0.9529	-1.0	0.9991	-1.0
